code,kis_sector,kis_market,updated_at
000060,UNKNOWN,KOSPI,2026-08-31T03:46:30.328932+00:00
000100,제약,KOSPI200,2026-08-31T03:44:18.603177+00:00
000120,운송·창고,KOSPI200,2026-08-31T03:44:22.208250+00:00
000150,전기·전자,KOSPI200,2026-08-29T15:36:45.415538+00:00
000250,제약,KSQ150,2026-08-29T15:38:15.206650+00:00
000270,운송장비·부품,KOSPI200,2026-08-29T15:36:14.177528+00:00
000500,전기·전자,KOSPI,2026-08-31T03:48:04.106961+00:00
000660,전기·전자,KOSPI200,2026-08-29T15:35:58.858351+00:00
000720,건설,KOSPI200,2026-08-29T15:37:04.675909+00:00
000810,보험,KOSPI200,2026-08-29T15:36:25.547268+00:00
000880,화학,KOSPI200,2026-08-29T15:37:47.974665+00:00
000990,전기·전자,KOSPI200,2026-08-31T03:47:17.824499+00:00
0009K0,일반서비스,KSQ150,2026-08-29T15:40:31.861956+00:00
001040,금융,KOSPI200,2026-08-31T03:47:38.596700+00:00
001440,전기·전자,KOSPI200,2026-08-31T03:47:58.342551+00:00
001450,보험,KOSPI200,2026-08-31T03:47:26.566352+00:00
001570,화학,KOSPI,2026-08-31T03:47:36.067984+00:00
002380,화학,KOSPI200,2026-08-31T03:46:26.221594+00:00
002790,화학,KOSPI200,2026-08-31T03:44:25.997441+00:00
003100,운송·창고,KOSDAQ,2026-09-04T04:28:11.933218+00:00
003230,음식료·담배,KOSPI200,2026-08-29T15:37:11.512541+00:00
003380,금융,KSQ150,2026-08-29T15:39:23.875871+00:00
003410,UNKNOWN,KOSPI,2026-08-31T03:44:28.832234+00:00
003490,운송·창고,KOSPI200,2026-08-29T15:37:17.235162+00:00
003550,금융,KOSPI200,2026-08-29T15:36:53.877373+00:00
003670,전기·전자,KOSPI200,2026-08-29T15:36:59.004459+00:00
004020,금속,KOSPI200,2026-08-31T03:44:32.381562+00:00
004170,유통,KOSPI200,2026-08-31T03:48:09.750340+00:00
004370,음식료·담배,KOSPI200,2026-09-04T04:29:46.895363+00:00
004990,금융,KOSPI200,2026-08-31T03:46:19.679932+00:00
005070,화학,KOSPI,2026-08-31T03:47:34.113022+00:00
005290,화학,KSQ150,2026-08-29T15:38:48.180805+00:00
005380,운송장비·부품,KOSPI200,2026-08-29T15:36:05.110008+00:00
005385,운송장비·부품,KOSPI,2026-08-31T03:47:53.163613+00:00
005387,운송장비·부품,KOSPI,2026-08-29T15:37:51.957690+00:00
005420,화학,KOSPI200,2026-09-04T04:29:06.342370+00:00
005490,금속,KOSPI200,2026-08-29T15:36:32.927719+00:00
005830,보험,KOSPI200,2026-08-29T15:37:09.234310+00:00
005930,전기·전자,KOSPI200,2026-08-29T15:35:57.167153+00:00
005935,전기·전자,KOSPI,2026-08-29T15:35:59.433372+00:00
005940,증권,KOSPI200,2026-08-29T15:37:25.174226+00:00
006260,금융,KOSPI200,2026-08-29T15:37:26.894544+00:00
006280,제약,KOSPI200,2026-08-31T03:44:36.516505+00:00
006360,건설,KOSPI,2026-08-31T03:44:40.927288+00:00
006400,전기·전자,KOSPI200,2026-08-29T15:36:16.443240+00:00
006730,일반서비스,KSQ150,2026-09-04T04:32:57.318092+00:00
006800,증권,KOSPI200,2026-08-29T15:36:47.674868+00:00
007070,유통,KOSPI200,2026-08-31T03:47:30.656378+00:00
007390,제약,KSQ150,2026-08-29T15:39:03.478560+00:00
007660,전기·전자,KOSPI200,2026-08-29T15:37:37.127682+00:00
008560,UNKNOWN,KOSPI,2026-08-31T03:46:22.901952+00:00
008770,유통,KOSPI200,2026-08-31T03:47:00.086688+00:00
008930,금융,KOSPI200,2026-08-31T03:44:44.438744+00:00
009150,전기·전자,KOSPI200,2026-08-29T15:36:02.840932+00:00
009520,금속,KSQ150,2026-09-04T04:28:55.865746+00:00
009540,금융,KOSPI200,2026-08-29T15:36:33.502442+00:00
009830,화학,KOSPI200,2026-08-29T15:37:43.965629+00:00
010060,금융,KOSPI200,2026-08-31T03:46:52.906148+00:00
010120,전기·전자,KOSPI200,2026-08-29T15:36:24.977318+00:00
010130,금속,KOSPI200,2026-08-29T15:36:29.518473+00:00
010140,운송장비·부품,KOSPI200,2026-08-29T15:36:50.514106+00:00
010170,전기·전자,KOSDAQ,2026-08-29T15:38:44.209868+00:00
010620,UNKNOWN,KOSPI,2026-08-31T03:47:21.148135+00:00
010950,화학,KOSPI200,2026-08-29T15:36:56.691954+00:00
011070,전기·전자,KOSPI200,2026-08-29T15:37:04.101253+00:00
011170,화학,KOSPI200,2026-08-31T03:44:47.766649+00:00
011200,운송·창고,KOSPI200,2026-08-29T15:36:41.433124+00:00
011780,화학,KOSPI200,2026-08-31T03:44:51.044319+00:00
011790,화학,KOSPI200,2026-08-31T03:44:54.700877+00:00
012330,운송장비·부품,KOSPI200,2026-08-29T15:36:18.703335+00:00
012450,운송장비·부품,KOSPI200,2026-08-29T15:36:10.216895+00:00
0126Z0,금융,KOSPI200,2026-08-29T15:40:30.173623+00:00
012750,일반서비스,KOSPI200,2026-09-04T04:27:19.749276+00:00
014620,금속,KSQ150,2026-08-29T15:39:52.887589+00:00
014680,화학,KOSPI200,2026-08-31T03:46:40.903310+00:00
015750,운송장비·부품,KSQ150,2026-09-04T04:29:02.503788+00:00
015760,전기·가스,KOSPI200,2026-08-29T15:36:40.861077+00:00
016360,증권,KOSPI200,2026-08-29T15:37:39.987194+00:00
016790,음식료·담배,KOSDAQ,2026-09-04T04:27:55.593419+00:00
017670,통신,KOSPI200,2026-08-29T15:36:37.468717+00:00
018260,IT 서비스,KOSPI200,2026-08-29T15:36:49.943574+00:00
018290,화학,KSQ150,2026-09-04T04:29:59.123119+00:00
018880,기계·장비,KOSPI200,2026-08-31T03:44:57.394855+00:00
019170,제약,KOSPI,2026-08-31T03:45:00.360582+00:00
019210,금속,KOSDAQ,2026-09-04T04:33:54.318118+00:00
020150,전기·전자,KOSPI,2026-08-31T03:46:33.847220+00:00
021240,일반서비스,KOSPI200,2026-08-29T15:37:48.552280+00:00
022100,일반서비스,KOSPI200,2026-08-31T03:47:48.786866+00:00
023160,금속,KOSDAQ,2026-09-04T04:32:09.584372+00:00
023530,유통,KOSPI200,2026-09-04T04:28:14.230641+00:00
024110,금융,KOSPI200,2026-08-29T15:36:57.268890+00:00
025320,전기·전자,KSQ150,2026-09-04T04:30:23.079707+00:00
025770,통신,KOSDAQ,2026-09-04T04:28:23.548006+00:00
025900,종이·목재,KSQ150,2026-09-04T04:23:51.835629+00:00
025950,건설,KOSDAQ,2026-09-04T04:31:53.568889+00:00
025980,일반서비스,KSQ150,2026-09-04T04:23:52.400712+00:00
026960,유통,KOSPI200,2026-08-31T03:47:09.578176+00:00
027360,금융,KOSDAQ,2026-09-04T04:23:56.065550+00:00
028050,일반서비스,KOSPI200,2026-08-29T15:37:27.467245+00:00
028260,유통,KOSPI200,2026-08-29T15:36:08.517420+00:00
028300,제약,KSQ150,2026-08-29T15:38:08.420478+00:00
028670,운송·창고,KOSPI200,2026-08-31T03:45:03.728356+00:00
029780,금융,KOSPI200,2026-08-31T03:45:08.626647+00:00
030000,일반서비스,KOSPI200,2026-08-31T03:47:28.872368+00:00
030190,IT 서비스,KOSPI,2026-09-04T04:23:58.993122+00:00
030200,통신,KOSPI200,2026-08-29T15:37:06.971094+00:00
030520,IT 서비스,KSQ150,2026-09-04T04:27:37.703706+00:00
030530,화학,KSQ150,2026-08-29T15:39:10.826337+00:00
030960,출판·매체복제,KOSDAQ,2026-09-04T04:28:25.528033+00:00
031330,유통,KOSDAQ,2026-08-29T15:39:59.687471+00:00
031980,기계·장비,KSQ150,2026-08-29T15:38:36.246979+00:00
032190,유통,KSQ150,2026-09-04T04:28:28.795020+00:00
032300,제약,KOSDAQ,2026-09-04T04:26:51.354162+00:00
032500,전기·전자,KSQ150,2026-09-04T04:24:01.521225+00:00
032640,통신,KOSPI200,2026-08-31T03:45:13.730166+00:00
032820,전기·전자,KSQ150,2026-08-29T15:38:46.468168+00:00
032830,보험,KOSPI200,2026-08-29T15:36:06.261248+00:00
033100,전기·전자,KSQ150,2026-09-04T04:31:06.021314+00:00
033290,유통,KOSDAQ,2026-09-04T04:27:08.143129+00:00
033500,화학,KSQ150,2026-09-04T04:32:13.820826+00:00
033640,전기·전자,KOSDAQ,2026-09-04T04:24:04.283947+00:00
033780,음식료·담배,KOSPI200,2026-08-29T15:36:52.195321+00:00
033790,전기·전자,KOSDAQ,2026-09-04T04:33:47.221611+00:00
034020,기계·장비,KOSPI200,2026-08-29T15:36:11.926036+00:00
034220,전기·전자,KOSPI200,2026-08-31T03:45:18.738135+00:00
034230,오락·문화,KOSPI200,2026-09-04T04:24:07.676232+00:00
034730,금융,KOSPI200,2026-08-29T15:36:19.276602+00:00
035080,유통,KOSDAQ,2026-09-04T04:24:11.313522+00:00
035250,오락·문화,KOSPI200,2026-08-31T03:45:22.348663+00:00
035420,IT 서비스,KOSPI200,2026-08-29T15:36:21.555113+00:00
035720,IT 서비스,KOSPI200,2026-08-29T15:36:59.576707+00:00
035760,오락·문화,KSQ150,2026-08-31T03:46:56.878042+00:00
035900,오락·문화,KSQ150,2026-08-29T15:39:14.253001+00:00
036460,전기·가스,KOSPI200,2026-08-31T03:46:44.018630+00:00
036490,UNKNOWN,KOSPI,2026-08-31T03:45:26.262532+00:00
036540,전기·전자,KSQ150,2026-08-29T15:39:38.119343+00:00
036570,IT 서비스,KOSPI200,2026-08-31T03:45:29.210519+00:00
036810,전기·전자,KSQ150,2026-09-04T04:31:16.097487+00:00
036830,일반서비스,KSQ150,2026-08-29T15:39:39.267822+00:00
036930,기계·장비,KSQ150,2026-08-29T15:38:03.857783+00:00
038500,비금속,KSQ150,2026-08-29T15:39:48.901987+00:00
039030,기계·장비,KSQ150,2026-08-29T15:38:07.841935+00:00
039200,제약,KSQ150,2026-08-29T15:39:16.508804+00:00
039490,증권,KOSPI200,2026-08-29T15:37:46.274902+00:00
039840,의료·정밀기기,KOSDAQ,2026-09-04T04:26:26.927399+00:00
041140,UNKNOWN,KOSPI,2026-09-04T04:27:41.330413+00:00
041190,금융,KSQ150,2026-09-04T04:27:14.216848+00:00
041510,오락·문화,KSQ150,2026-08-29T15:39:01.205257+00:00
041830,의료·정밀기기,KOSDAQ,2026-09-04T04:33:55.980711+00:00
