market,ticker,name,market_cap_rank,sector,kis_sector,kis_market,ml_sector
KOSPI,005930.KS,삼성전자,1,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,000660.KS,SK하이닉스,2,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,005935.KS,삼성전자우,3,전기·전자,전기·전자,KOSPI,전기·전자
KOSPI,402340.KS,SK스퀘어,4,금융,금융,KOSPI200,금융
KOSPI,009150.KS,삼성전기,5,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,373220.KS,LG에너지솔루션,6,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,005380.KS,현대차,7,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,207940.KS,삼성바이오로직스,8,제약,제약,KOSPI200,제약
KOSPI,032830.KS,삼성생명,9,보험,보험,KOSPI200,보험
KOSPI,105560.KS,KB금융,10,금융,금융,KOSPI200,금융
KOSPI,028260.KS,삼성물산,11,유통,유통,KOSPI200,유통
KOSPI,012450.KS,한화에어로스페이스,12,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,034020.KS,두산에너빌리티,13,기계·장비,기계·장비,KOSPI200,기계·장비
KOSPI,055550.KS,신한지주,14,금융,금융,KOSPI200,금융
KOSPI,000270.KS,기아,15,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,329180.KS,HD현대중공업,16,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,006400.KS,삼성SDI,17,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,068270.KS,셀트리온,18,제약,제약,KOSPI200,제약
KOSPI,012330.KS,현대모비스,19,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,034730.KS,SK,20,금융,금융,KOSPI200,금융
KOSPI,086790.KS,하나금융지주,21,금융,금융,KOSPI200,금융
KOSPI,035420.KS,NAVER,22,IT 서비스,IT 서비스,KOSPI200,IT 서비스
KOSPI,066570.KS,LG전자,23,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,010120.KS,LS ELECTRIC,24,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,000810.KS,삼성화재,25,보험,보험,KOSPI200,보험
KOSPI,298040.KS,효성중공업,26,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,267260.KS,HD현대일렉트릭,27,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,010130.KS,고려아연,28,금속,금속,KOSPI200,금속
KOSPI,042660.KS,한화오션,29,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,005490.KS,POSCO홀딩스,30,금속,금속,KOSPI200,금속
KOSPI,009540.KS,HD한국조선해양,31,금융,금융,KOSPI200,금융
KOSPI,069500.KS,KODEX 200,32,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,316140.KS,우리금융지주,33,금융,금융,KOSPI200,금융
KOSPI,017670.KS,SK텔레콤,34,통신,통신,KOSPI200,통신
KOSPI,042700.KS,한미반도체,35,기계·장비,기계·장비,KOSPI200,기계·장비
KOSPI,015760.KS,한국전력,36,전기·가스,전기·가스,KOSPI200,전기·가스
KOSPI,011200.KS,HMM,37,운송·창고,운송·창고,KOSPI200,운송·창고
KOSPI,360750.KS,TIGER 미국S&P500,38,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,138040.KS,메리츠금융지주,39,금융,금융,KOSPI200,금융
KOSPI,000150.KS,두산,40,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,096770.KS,SK이노베이션,41,화학,화학,KOSPI200,화학
KOSPI,006800.KS,미래에셋증권,42,증권,증권,KOSPI200,증권
KOSPI,051910.KS,LG화학,43,화학,화학,KOSPI200,화학
KOSPI,018260.KS,삼성에스디에스,44,IT 서비스,IT 서비스,KOSPI200,IT 서비스
KOSPI,010140.KS,삼성중공업,45,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,033780.KS,KT&G,46,음식료·담배,음식료·담배,KOSPI200,음식료·담배
KOSPI,003550.KS,LG,47,금융,금융,KOSPI200,금융
KOSPI,278470.KS,에이피알,48,화학,화학,KOSPI200,화학
KOSPI,267250.KS,HD현대,49,금융,금융,KOSPI200,금융
KOSPI,010950.KS,S-Oil,50,화학,화학,KOSPI200,화학
KOSPI,024110.KS,기업은행,51,금융,금융,KOSPI200,금융
KOSPI,003670.KS,포스코퓨처엠,52,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,035720.KS,카카오,53,IT 서비스,IT 서비스,KOSPI200,IT 서비스
KOSPI,079550.KS,LIG디펜스앤에어로스페이스,54,금속,금속,KOSPI200,금속
KOSPI,086280.KS,현대글로비스,55,운송·창고,운송·창고,KOSPI200,운송·창고
KOSPI,064350.KS,현대로템,56,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,011070.KS,LG이노텍,57,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,000720.KS,현대건설,58,건설,건설,KOSPI200,건설
KOSPI,272210.KS,한화시스템,59,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,030200.KS,KT,60,통신,통신,KOSPI200,통신
KOSPI,047810.KS,한국항공우주,61,운송장비·부품,운송장비·부품,KOSPI200,운송장비·부품
KOSPI,005830.KS,DB손해보험,62,보험,보험,KOSPI200,보험
KOSPI,078930.KS,GS,63,금융,금융,KOSPI200,금융
KOSPI,003230.KS,삼양식품,64,음식료·담배,음식료·담배,KOSPI200,음식료·담배
KOSPI,133690.KS,TIGER 미국나스닥100,65,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,307950.KS,현대오토에버,66,IT 서비스,IT 서비스,KOSPI200,IT 서비스
KOSPI,071050.KS,한국금융지주,67,금융,금융,KOSPI200,금융
KOSPI,003490.KS,대한항공,68,운송·창고,운송·창고,KOSPI200,운송·창고
KOSPI,323410.KS,카카오뱅크,69,금융,금융,KOSPI200,금융
KOSPI,102110.KS,TIGER 200,70,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,259960.KS,크래프톤,71,IT 서비스,IT 서비스,KOSPI200,IT 서비스
KOSPI,379800.KS,KODEX 미국S&P500,72,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,443060.KS,HD현대마린솔루션,73,일반서비스,일반서비스,KOSPI200,일반서비스
KOSPI,005940.KS,NH투자증권,74,증권,증권,KOSPI200,증권
KOSPI,006260.KS,LS,75,금융,금융,KOSPI200,금융
KOSPI,028050.KS,삼성E&A,76,일반서비스,일반서비스,KOSPI200,일반서비스
KOSPI,396500.KS,TIGER 반도체TOP10,77,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,379810.KS,KODEX 미국나스닥100,78,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,0126Z0.KS,삼성에피스홀딩스,79,금융,금융,KOSPI200,금융
KOSPI,047050.KS,포스코인터내셔널,80,유통,유통,KOSPI200,유통
KOSPI,090430.KS,아모레퍼시픽,81,화학,화학,KOSPI200,화학
KOSPI,180640.KS,한진칼,82,금융,금융,KOSPI200,금융
KOSPI,488770.KS,KODEX 머니마켓액티브,83,ETF(Active/수익증권),ETF(Active/수익증권),ETF,ETF(Active/수익증권)
KOSPI,007660.KS,이수페타시스,84,전기·전자,전기·전자,KOSPI200,전기·전자
KOSPI,161390.KS,한국타이어앤테크놀로지,85,화학,화학,KOSPI200,화학
KOSPI,047040.KS,대우건설,86,건설,건설,KOSPI200,건설
KOSPI,016360.KS,삼성증권,87,증권,증권,KOSPI200,증권
KOSPI,352820.KS,하이브,88,오락·문화,오락·문화,KOSPI200,오락·문화
KOSPI,278530.KS,KODEX 200TR,89,ETF(실물복제/수익증권),ETF(실물복제/수익증권),ETF,ETF(실물복제/수익증권)
KOSPI,009830.KS,한화솔루션,90,화학,화학,KOSPI200,화학
KOSPI,064400.KS,LG씨엔에스,91,IT 서비스,IT 서비스,KOSPI200,IT 서비스
KOSPI,039490.KS,키움증권,92,증권,증권,KOSPI200,증권
KOSPI,000880.KS,한화,93,화학,화학,KOSPI200,화학
KOSPI,021240.KS,코웨이,94,일반서비스,일반서비스,KOSPI200,일반서비스
KOSPI,326030.KS,SK바이오팜,95,일반서비스,일반서비스,KOSPI200,일반서비스
KOSPI,005387.KS,현대차2우B,96,운송장비·부품,운송장비·부품,KOSPI,운송장비·부품
KOSPI,267270.KS,HD건설기계,97,기계·장비,기계·장비,KOSPI200,기계·장비
KOSPI,128940.KS,한미약품,98,제약,제약,KOSPI200,제약
KOSPI,459580.KS,KODEX CD금리액티브(합성),99,ETF,ETF,ETF,ETF
KOSPI,377300.KS,카카오페이,100,금융,금융,KOSPI200,금융
KOSDAQ,196170.KQ,알테오젠,1,일반서비스,일반서비스,KSQ150,일반서비스
KOSDAQ,086520.KQ,에코프로,2,금융,금융,KSQ150,금융
KOSDAQ,247540.KQ,에코프로비엠,3,전기·전자,전기·전자,KSQ150,전기·전자
KOSDAQ,277810.KQ,레인보우로보틱스,4,기계·장비,기계·장비,KSQ150,기계·장비
KOSDAQ,036930.KQ,주성엔지니어링,5,기계·장비,기계·장비,KSQ150,기계·장비
KOSDAQ,240810.KQ,원익IPS,6,기계·장비,기계·장비,KSQ150,기계·장비
